;Richness koinobionts;Richness idiobionts;Latitude;total;Diversity koinobionts;Diversity idiobionts
JPE;0;0;07.06;0;0;0
REC;1;0;08.03;1;0.693;0.636
QUE;3;3;09.19;6;1.011;0
SLI;0;0;11.21;0;0;0
MSJ;0;0;12.58;0;0;0
ILH;2;1;14.47;3;1.039;0
PSE;1;0;16.23;1;0.693;0
LIN;1;0;18.42;1;0.693;0
STE;2;10;19.56;12;1.039;0.639
SMM;5;10;21.50;15;1.359;1.193
NIG;3;8;22.45;11;0.693;0.974
UBA;3;11;23.20;14;1.242;1.162
SAL;1;1;23.31;2;0.693;0
RGR;7;6;24.18;13;1.195;0.450
PER;4;8;24.31;12;1.213;0.735
MOR;2;3;25.28;5;0.693;1.098
SFS;1;3;26.13;4;0.693;0.636
SBS;1;6;26.19;7;0.693;1.242
