Location;Latitude;Altitude;Season;Diversity;Abundance;Richness;Diversity genera
João Pessoa;07.06;190;julho;0;0;0;0
Recife (PE);08.03;200;agosto;0.1;4;1;0
Quebrangulo (AL);09.19;220;setembro;1.704;12;6;1.357
Santa Luzia do Itanhy;11.21;190;julho;0;0;0;0
Mata São João;12.58;190;julho;0;0;0;0
Ilhéus (BA);14.47;190;maio;1.098;3;3;1.098
Porto Seguro (BA);16.23;230;maio;0.1;1;1;0
Linhares (ES);18.42;250;março;0.1;3;1;0
Santa Teresa (ES);19.56;690;abril;2.266;25;12;0.849
Santa Maria Madalena (RJ);21.50;700;abril;2.198;35;15;1.415
Nova Iguaçu (RJ);22.45;190;março;2.08;20;12;1.192
Ubatuba (SP);23.20;170;janeiro;2.501;26;15;1.631
Salesópolis (SP);23.31;650;março;0.693;2;2;0.693
Ribeirão Grande (SP);24.18;600;dezembro;2.121;35;13;0.882
Peruíbe (SP);24.31;210;abril;2.289;20;12;1.296
Morretes (PR);25.28;200;abril;1.494;8;5;1.255
São Francisco do Sul (SC);26.13;190;outubro;1.22;13;4;0.898
São Bento do Sul (SC);26.19;700;outubro;1.631;12;7;1.098
