	A. sp1	A. sp2	A. sp7	A. sp8	A. sp9	Cl. Sp1	E. sp1	H. sp1	H. sp2	H. sp3	H. sp4	N. sp1	N. sp2	N. sp3	N. sp4	N. sp5	N. sp6	N. sp7	N. sp8	N. sp9	N. sp10	N. sp11	N. sp12	N. sp13	N. sp14	N. sp15	N. sp16	P. croceiventris	P. sumichrasti	P. azteca	P. caerulea	Polys. Sp1	Polys. Sp2	Polys. Sp3	Polys. Sp4	Polys. Sp5	T. vilmae	Zag. sp1	Zag. Sp2	Zag. Sp3	Zat. sp1	Zat. Sp2	Zat. Sp3	Zat. Sp4	Zat. Sp5	Zat. Sp6	Zat. Sp7	Zat. Sp8	Zat. Sp9	Zat. Sp10	Zat. Sp11	Zat. Sp12	Zat. Sp13	Z. zumbadoi	X. sp1	X. sp2	X. sp3	X. sp4	X. sp5	X. aurita	X. rhabdomera
Recife (PE)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quebrangulo (AL)	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilhéus (BA)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto Seguro (BA)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linhares (ES)	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Santa Teresa (ES)	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	1	1	1	2	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Santa Maria Madalena (RJ)	4	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	12	1	1	0	0	0
Nova Iguaçu (RJ)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	1	0	0	0	0	0	0	0	3	1	0	1	0	0	1
Ubatuba (SP)	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0	1	0	0	1	0	3	0	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1
Salesópolis (SP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribeirão Grande (SP)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	10	2	6	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Peruíbe (SP)	0	0	0	1	0	0	0	0	0	0	1	3	1	1	0	0	0	0	1	0	0	0	0	0	5	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Morretes (PR)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
São Francisco do Sul (SC)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
São Bento do Sul (SC)	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
